"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"JUP",0.0250482859418088,0.0317452050173138,0.0335504380460533
"CBX2",1.35415163374105e-05,5.25686438056377e-05,0.0211439441704443
"SPTBN2",0.0036187075450374,0.00497605188727164,0.000371599459926212
"FBXO45",0.00531537190633394,0.0100801697236184,0.0313804148709686
"TNK1",0.0102677542911469,0.0191368152292035,0.0442770524622692
"SNHG11",0.0101401924714021,0.0229731820265301,0.035467448711797
"EXO1",2.03197380110416e-06,1.76806616617815e-05,0.000254101712511598
"ZWILCH",4.24386311216288e-05,0.000145692834079454,0.00244001137344502
"ZNF497",4.36140284500204e-05,0.00017736679567556,0.00334656269974472
"UGT8",0.000435128718405576,0.000922277868331436,0.0124283950756628
"SLC29A2",0.00671898700133247,0.0109795330914609,0.0213006966627438
"SEZ6L2",0.0354081669938314,0.0482094221864895,0.0230050191483235
"UBE2C",3.05030918416252e-10,1.24875301982862e-08,2.8420353894256e-05
"MARCKSL1",0.00847609386170043,0.0137365443225358,0.0170713107687921
"CENPS",0.000472089329073859,0.00081467898678222,0.012584090107278
"GRAMD2A",0.00102938764806647,0.00281818591639542,0.027845433263706
"CCDC14",0.000682166440284726,0.00150431572444073,0.00721175638901748
"RMI2",5.78355842894906e-10,1.56443888153472e-08,6.7008821219072e-05
"KDF1",0.00348328412627999,0.00664252963700829,0.0026568922704797
"RUVBL1",1.51657658713505e-05,0.000137199946527352,0.000818790794514396
"ETV4",0.0036187075450374,0.00603423860693014,0.0216252891304697
