"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"MOB3C",2.97626760057137e-06,1.38133997703302e-05,0.000101914443696579
"C1orf162",0.00165637728714134,0.00251157169353935,0.00144782494173013
"DPT",6.27289542049075e-13,1.27021410401591e-10,5.15730381819457e-06
"FCGR2A",0.0376302708025653,0.042352025173531,0.0454464655646238
"RGS5",0.00179773295071122,0.00196420370064946,0.00276953604334155
"ABL2",0.000526140708054139,0.000747596298830347,0.0269343067671964
"HMCN1",0.0128194542285055,0.0135194190199425,0.0396522076042312
"RGL1",3.0784877039535e-05,3.27921144485384e-05,0.00139435808225584
"MCL1",0.000670113811930766,0.00100188959079135,0.00624908843072922
"CTSK",0.000606549124898888,0.000802884968614033,0.0112882009782002
"ATP8B2",0.000589811327697717,0.000721221965929565,0.00469447212489797
"KCNN3",0.0110330629259413,0.0119556813571581,0.00434465575589001
"ITPKB",0.0141320896258898,0.0161772395553843,0.00689112556783436
"EPHX1",0.000496823217329308,0.000525025634624601,0.00396228244434851
"OSR1",7.44376313887171e-16,2.99489237387833e-13,2.22925828199409e-06
"GDF7",0.000704819929040874,0.000963714201815093,0.013588549247037
"RHOB",3.73944771977624e-06,1.00504914483796e-05,8.70595554735613e-05
